index,title,tag,artist,year,x_coordinate,y_coordinate
1372,Ive Almost Jack Daniels Drowned,country,John Anderson,1981,,
1373,Together Were One,country,Bill Anderson & Jan Howard,1970,,
1374,ERP Implementation in Automobile Industry | Pridesys IT Ltd,country,Pridesys,2018,,
1375,Ill Start Believing In You,country,Hank Thompson,2000,,
1376,Nothing To Do With You,country,Spencer Crandall,2021,,
1377,Perfect Timing,country,Drive-By Truckers,2008,,
1378,Brown Bottle Flu,country,Kevin Kerby,2012,,
1379,Off-White,country,Pam Tillis,2001,,
1380,If You Were You,country,Robert Vincent,2020,,
1381,Detroit Michigan,country,Kid Rock,2012,,
1382,Rough On The Living,country,Bobby Bare,1980,,
1383,Irish Medley,country,The Chicks,1992,,
1384,Away in a Manger,country,Ricky Skaggs,2003,,
1385,Selfish,country,Stephanie Quayle,2017,,
1386,Love Me Or Dont,country,Jason Aldean,2018,,
1387,Take Me Away Now,country,Grady Spencer & the Work,2021,,
1388,That Song Is Driving Me Crazy,country,Tom T. Hall,1974,,
1389,Wake Me Up,country,Tebey,2014,,
1390,Felonious,country,Howe Gelb,2003,,
1391,Safe With Me Live,country,Shea & Tobias,2020,,
1392,Pulaski,country,Drive-By Truckers,2011,,
1393,Witness,country,Brush Arbor,1981,,
1394,A Good Man Is So Hard To Find,country,Dixie J Baker,2019,,
1395,The Bigger the Fool the Harder the Fall,country,Kris Kristofferson & Brenda Lee,1982,,
1396,Ruby Are You Mad,country,The Osborne Brothers,1959,,
1397,A New Love,country,Reba McEntire,1989,,
1398,Touchdown Town,country,Aaron Watson,2020,,
1399,Nothing Like An Ocean,country,The Rankin Family,2007,,
1400,Ill Be Gone,country,Sarah Jarosz,2020,,
